code,name,change_rate,current_price,change_value,buy_price,sell_price,total_volume,total_amount,current_volume,speed_1min,real_change_rate,avg_diff,turnover_rate,order_ratio,total_market_cap,circulating_market_cap,circulation_ratio,speed_4min,deviation_today,deviation_unusual,deviation_10d,deviation_30d,unusual_count_10d,inner_volume,outer_volume,inner_outer_ratio,remark,negative_factor,positive_factor,main_net_volume,volume_ratio,pe_ttm,net_profit,pb_ratio,eps,sub_industry,industry,prev_close,open_price,open_change_rate,auction_turnover,high_price,low_price,change_5d,change_10d,change_20d,ytd_change,amplitude,buy_volume,sell_volume,trade_count,contribution,institution_trend,unusual_type,total_shares,circulating_shares,total_profit,net_profit_growth,bvps,golden_cross_count,retail_count,self_select_time,self_select_price,self_select_profit,listing_date
300592,华凯易佰,0.0046,10.9,0.05,10.9,10.91,8449340.0,92190428.0,76500.0,-0.0018,0.0009,-0.1,0.0241,-1.26,4407540000.0,3826228900.0,0.8681,-0.0018,,,,,,4581910.0,3867430.0,1.18,,,,0.02,0.77,145.5,49406265.0,1.91,0.127,互联网电商,互联网电商,10.85,10.89,0.0037,,11.05,10.82,0.0401,0.049100000000000005,0.0,-0.23399999999999999,0.0212,54860.0,4400.0,12046.0,,1.23,,404361470.0,351030170.0,55710342.0,-0.7390000000000001,5.71,1.0,-2.0,,,,2017-01-20
301290,东星医疗,0.0046,26.2,0.12,26.2,26.23,1233300.0,32161030.0,8000.0,0.0008,0.0046,0.47,0.0181,-43.8,2624541400.0,1785881100.0,0.6805,0.0008,,,,,,640450.0,592850.0,1.08,,,,-0.03,0.58,,-53201637.0,1.23,-0.53,医疗耗材,医疗器械,26.08,26.08,0.0,,26.34,25.8,-0.045899999999999996,-0.0139,-0.0629,0.1572,0.0207,100.0,200.0,3338.0,,-6.36,,100173334.0,68163400.0,-43091173.0,-1.811,21.29,1.0,10.84,,,,2022-11-30
605009,豪悦护理,0.0046,32.75,0.15,32.74,32.75,1503560.0,48854581.0,22400.0,0.0003,-0.0003,0.79,0.006999999999999999,-67.52,7043465200.0,7028793200.0,0.9979,0.0003,,,,,,756876.0,746684.0,1.01,,,,-0.0,0.92,23.76,203360520.0,2.08,0.95,个护用品,美容护理,32.6,32.76,0.0049,,32.79,32.28,-0.018600000000000002,-0.0144,-0.0058,0.1723,0.015600000000000001,4700.0,17820.0,4251.0,0.0,-1.47,,215067640.0,214619640.0,235019780.0,-0.3094,15.74,3.0,-8.24,,,,2020-09-11
601038,一拖股份,0.0046,13.1,0.06,13.1,13.11,3667391.0,47947241.0,97560.0,0.0,0.0046,0.2,0.005,-69.6,14719753000.0,9585339100.0,0.6512,0.0,,,,,,1711464.0,1955927.0,0.875,,,,-0.02,0.71,18.05,994186670.0,1.88,0.885,农用机械,专用设备,13.04,13.04,0.0,,13.12,12.96,0.0108,0.038,0.038,-0.091,0.0123,5340.0,67000.0,6488.0,0.0,-17.73,,1123645280.0,731705280.0,1183509530.0,-0.0969,6.98,1.0,2.32,,,,2012-08-08
301222,浙江恒威,0.0046,30.61,0.14,30.6,30.61,1203900.0,36500240.0,22100.0,0.0016,0.0069,0.96,0.0151,73.97,3068395400.0,2443340700.0,0.7963,0.0016,,,,,,649550.0,554350.0,1.17,,,,0.07,0.8,29.59,61237192.0,2.14,0.611,其他电池,电池,30.47,30.4,-0.0023,,30.87,30.0,0.011899999999999999,0.0454,-0.0304,0.21710000000000002,0.0286,12600.0,9000.0,3324.0,,13.14,,100241600.0,79821650.0,70675029.0,-0.2979,14.3,1.0,-4.54,,,,2022-03-09
300611,美力科技,0.0046,30.66,0.14,30.66,30.67,10811823.0,332018360.0,400.0,-0.0003,-0.0113,-0.16,0.0729,1.96,6471549700.0,4546969400.0,0.7026,-0.0003,,,,,,6108454.0,4703369.0,1.3,,,,-0.29,0.49,44.36,116773457.0,5.27,0.55,车身附件及饰件,汽车零部件,30.52,31.01,0.0161,,31.18,30.25,-0.0932,-0.0848,0.2119,1.9334,0.0305,41000.0,8700.0,24136.0,,-8.34,,211074680.0,148302980.0,133942425.0,0.5055,5.82,3.0,45.31,,,,2017-02-20
002033,丽江股份,0.0046,8.76,0.04,8.75,8.76,9133990.0,80025053.0,231100.0,0.0,0.0011,-0.01,0.0166,-56.82,4813538600.0,4813446400.0,1.0,0.0,,,,,,4045441.0,5088549.0,0.795,,,,-0.32,0.83,22.86,191926570.0,1.9,0.349,自然景点,旅游及酒店,8.72,8.75,0.0034000000000000002,,8.79,8.72,0.0046,0.0282,-0.013500000000000002,0.0282,0.008,42170.0,74200.0,11966.0,,-43.46,,549490710.0,549480180.0,263850120.0,-0.00182,4.62,2.0,13.89,,,,2004-08-25
603077,和邦生物,0.0046,2.19,0.01,2.19,2.2,149226180.0,324560250.0,4243500.0,0.0,0.0046,0.69,0.0169,-14.35,19340747000.0,19340747000.0,1.0,0.0,,,,,,72504457.0,76721723.0,0.945,,,,-0.06,0.88,,93108538.0,1.07,0.012,磷肥及磷化工,农化制品,2.18,2.18,0.0,,2.2,2.15,0.0429,0.033,0.1466,0.0735,0.0229,1169937.0,10375160.0,41675.0,0.0,-3.88,,8831391200.0,8831391200.0,170421440.0,-0.5793,2.06,1.0,22.3,,,,2012-07-31
600100,同方股份,0.0046,8.76,0.04,8.76,8.77,172059910.0,1508788400.0,1616000.0,-0.0011,-0.0045000000000000005,-0.1,0.051399999999999994,-29.74,29348608000.0,29348608000.0,1.0,-0.0011,,,,,,82818777.0,89241133.0,0.928,,,,-0.54,1.66,173.4,329431760.0,1.82,0.1,其他计算机设备,计算机设备,8.72,8.8,0.0092,,8.98,8.68,0.1159,0.1436,0.1061,0.2321,0.0344,312600.0,404500.0,144435.0,0.01,-18.98,,3350297700.0,3350297700.0,218009220.0,0.09519999999999999,4.82,0.0,54.76,,,,1997-06-27
688269,凯立新材,0.0046,41.69,0.19,41.61,41.69,1195238.0,49606704.0,4381.0,-0.0002,0.0022,0.45,0.0091,-7.57,5449049800.0,5449049800.0,1.0,-0.0002,,,,,,621603.0,573635.0,1.08,,,,-0.01,0.57,48.8,83089256.0,5.3,0.64,其他化学制品,化学制品,41.5,41.6,0.0024,,41.97,41.12,-0.029300000000000003,-0.0378,0.0971,0.703,0.020499999999999997,3700.0,158.0,2626.0,0.0,-2.12,,130704000.0,130704000.0,91974281.0,0.2974,7.87,1.0,6.96,,,,2021-06-09
