.	代码	    名称	.	涨幅	现价	涨跌	买价	卖价	总手	总金额	现手	1分钟涨速	实体涨幅	现均差%	换手	委比%	总市值	流通市值	流通比例	4分钟涨速	当日偏离值	异动偏离值	10日内偏离值	30日内偏离值	10日异动次数	内盘	外盘	内外比	备注	利空	利好	主力净量	量比	TTM市盈率	净利润	市净率	每股盈利	细分行业	所属行业	昨收	开盘	开盘涨幅	竞价换手	最高	最低	5日涨幅	10日涨幅	20日涨幅	年初至今	振幅	买量	卖量	笔数	贡献度	机构动向	异动类型	总股本	流通股本	利润总额	净利润增长率	每股净资产	金叉个数	散户数量	自选时间	自选价格	自选收益	上市日期	
	SZ002772	众兴菌业	--	+10.03%	14.37	+1.31	14.37	--	17413358	240309470	17800↑	+0.00%	+9.61%	+4.36	4.46%	+100.00	5650878300	5606246500	99.21%	+0.00%	--	--	--	--	--	8102536	9310822	0.870	--	无	无	0.64	0.50	23.19	204348540	1.67	0.545	其他种植业	种植业与林业	13.06	13.11	+0.38%	0.05%	14.37	13.10	+19.65%	+41.58%	+41.72%	+103.25%	9.72%	5480227	0	26449	--	39.95	--	393241360	390135450	203787220亿	130.5%	8.62	2	-37.13	--	--	--	20150626	
4	SZ002163	海南发展	--	+10.03%	14.37	+1.31	14.37	--	151323500	2098898900	317900↑	+0.00%	+11.83%	+3.83	18.83%	+100.00	12142044500	11546997300	95.10%	+0.00%	--	--	--	--	--	72965770	78357730	0.931	--	无	无	1.47	1.91		-364816830	17.24	-0.430	装饰园林	建筑装饰	13.06	12.85	-1.61%	0.38%	14.37	12.85	+36.86%	+31.47%	+40.47%	+53.69%	11.64%	5798700	0	122702	--	11.68	--	844957870	803548880	-358153740亿	-56.65%	0.83	0	33.76	--	--	--	20070823	
4	SZ000592	平潭发展	--	+10.03%	7.79	+0.71	7.79	--	146166090	1127176830	255300↑	+0.00%	+1.17%	+1.11	7.63%	+100.00	15048573000	14918570000	99.14%	+0.00%	--	--	--	--	--	77305598	68860492	1.12	--	无	无	0.36	0.47		31230545	7.85	0.017	林业	种植业与林业	7.08	7.70	+8.76%	2.35%	7.79	7.52	+56.11%	+90.93%	+123.21%	+171.43%	3.81%	47370552	0	69476	--	5.02	--	1931780900	1915092400	16932484亿	38.39%	0.99	0	-60.42	--	--	--	19960327	
4	SZ000555	神州信息	--	+10.03%	20.85	+1.90	20.85	--	218158440	4294002500	120400↑	+0.00%	+13.32%	+6.16	22.45%	+100.00	20344897000	20264189000	99.60%	+0.00%	--	--	--	--	--	113048917	105109523	1.08	--	无	无	1.58	1.49		-106798002	3.67	-0.111	IT服务	IT服务	18.95	18.40	-2.90%	0.44%	20.85	17.67	+37.26%	+61.38%	+51.97%	+86.16%	16.78%	5924534	0	219870	+0.56	8.25	--	975774440	971903560	-218083470亿	9.45%	5.68	0	209.28	--	--	--	19940408	
4	SH600475	华光环能	--	+10.03%	17.01	+1.55	17.01	--	40542267	665795470	73600↑	+0.00%	+10.03%	+3.80	4.30%	+100.00	16260977000	16038486000	98.63%	+0.00%	--	--	--	--	--	17334915	23207352	0.747	--	无	无	0.94	2.60	28.66	344313080	1.87	0.360	热力	电力	15.46	15.46	+0.00%	0.00%	17.01	15.36	+8.14%	+7.66%	+11.03%	+96.42%	10.67%	4366448	--	43284	+0.08	34.91	--	955965730	942885730	626425770亿	-28.46%	9.09	8	-64.57	--	--	--	20030721	
4	SZ000777	中核科技	--	+10.02%	23.16	+2.11	23.16	--	54296940	1220966600	100400↑	+0.00%	+5.27%	+3.20	14.16%	+100.00	8879951500	8879794800	100.00%	+0.00%	--	--	--	--	--	23452699	30844241	0.760	--	无	有	3.61	2.14	39.43	111566680	3.88	0.290	金属制品	通用设备	21.05	22.00	+4.51%	0.26%	23.16	21.71	+6.29%	+12.98%	+20.06%	+29.41%	6.89%	8248163	0	68803	--	38.13	--	383417590	383410830	111717930亿	-3.58%	5.97	10	-209.94	--	--	--	19970710	
	SH600444	国机通用	--	+10.02%	20.09	+1.83	20.09	--	11684506	233622660	34500↑	+0.00%	+4.09%	+0.52	7.98%	+100.00	2941616600	2941616600	100.00%	+0.00%	--	--	--	--	--	8533756	3150750	2.71	--	无	无	2.05	2.63	63.20	35929975	4.04	0.250	其他专用设备	专用设备	18.26	19.30	+5.70%	0.39%	20.09	19.10	+7.72%	+9.42%	+15.66%	+33.05%	5.42%	2456094	--	10246	+0.01	26.91	--	146421930	146421930	36208624亿	21.60%	4.97	12	140.19	--	--	--	20040219	
4	SZ000901	航天科技	--	+10.02%	20.98	+1.91	20.98	--	102592527	2048108400	288675↑	+0.00%	+10.42%	+5.33	12.85%	+100.00	16746265000	16746097000	100.00%	+0.00%	--	--	--	--	--	46957707	55634820	0.844	--	无	无	3.08	0.86	141.9	94892732	3.88	0.119	汽车电子电气系统	汽车零部件	19.07	19.00	-0.37%	0.10%	20.98	18.72	+8.87%	+26.92%	+27.23%	+91.25%	11.85%	8865203	0	105529	--	32.59	--	798201410	798193380	119299291亿	976.8%	5.41	6	-157.12	--	--	--	19990401	
4	SZ002555	三七互娱	--	+10.01%	22.85	+2.08	22.85	--	57202336	1306532850	290981↑	+0.00%	+0.00%	+0.05	3.58%	+100.00	50549631000	36536403000	72.28%	+0.00%	--	--	--	--	--	52254204	4948132	10.56	--	无	有	1.64	0.73	16.20	2344710600	3.76	1.07	游戏	游戏	20.77	22.85	+10.01%	1.00%	22.85	22.45	+13.97%	+16.52%	+3.86%	+53.87%	1.93%	16341665	0	32342	+1.40	34.77	--	2212237700	1598967300	2706682400亿	23.57%	6.08	3	195.79	--	--	--	20110302	
	SH605598	上海港湾	--	+10.01%	33.18	+3.02	33.18	--	7965001	255272410	6500↑	+0.00%	+9.04%	+3.75	3.28%	+100.00	8115324000	8063297700	99.36%	+0.00%	--	--	--	--	--	3770679	4194322	0.899	--	无	无	0.33	0.92	129.1	79203009	4.47	0.330	专业工程	建筑装饰	30.16	30.43	+0.90%	0.04%	33.18	30.43	+6.21%	+9.58%	+28.90%	+48.82%	9.12%	1875300	--	18965	+0.04	23.26	--	244584810	243016810	95883022亿	-27.25%	7.43	8	-1.73	--	--	--	20210917	
68	SH603014	威高血净	--	+10.01%	42.30	+3.85	42.30	--	1150186	48652868	300↑	+0.00%	+0.00%	-0.00	3.02%	+100.00	17670997000	1612162400	9.12%	+0.00%	--	--	--	--	--	1150186	0	--	--	无	无	2.15	0.54	37.25	340778060	2.53	0.850	医疗耗材	医疗器械	38.45	42.30	+10.01%	0.52%	42.30	42.30	+10.76%	+10.24%	+5.32%	+60.58%	0.00%	6208614	--	1532	--	55.19	--	417754070	38112587	406405410亿	7.92%	16.71	9	157.59	--	--	--	20250519	
4	SZ000973	佛塑科技	--	+10.01%	8.57	+0.78	8.57	--	88412569	728395840	461500--	+0.00%	+8.21%	+4.25	9.14%	+100.00	8290816600	8290816600	100.00%	+0.00%	--	--	--	--	--	39661979	48750590	0.814	--	无	无	1.85	2.20	68.90	83918908	2.85	0.087	膜材料	塑料制品	7.79	7.92	+1.67%	--	8.57	7.90	+10.58%	+13.51%	+18.70%	+45.13%	8.60%	8578900	0	48529	--	26.60	--	967423170	967423170	99551071亿	0.826%	3.01	4	-60.26	--	--	--	20000525	
	SH605258	协和电子	--	+10.01%	37.91	+3.45	37.91	--	7361611	269215360	7000--	+0.00%	+10.01%	+3.89	8.37%	+100.00	3336080000	3336080000	100.00%	+0.00%	--	--	--	--	--	3485741	3875870	0.899	--	无	无	1.59	3.54	48.08	44712052	2.79	0.508	印制电路板	元件	34.46	34.46	+0.00%	--	37.91	34.11	+9.66%	+21.58%	+9.63%	+27.86%	11.03%	1365900	--	18564	+0.02	32.54	--	88000000	88000000	46771395亿	-4.03%	13.57	2	-45.06	--	--	--	20201203	
